data,google,cliche,enlace,link
1,https://www.google.es/search?q=,A altas horas de la madrugada,https://www.google.es/search?q=A altas horas de la madrugada,A altas horas de la madrugada
2,https://www.google.es/search?q=,A base de bien,https://www.google.es/search?q=A base de bien,A base de bien
3,https://www.google.es/search?q=,A beneficio de inventario,https://www.google.es/search?q=A beneficio de inventario,A beneficio de inventario
4,https://www.google.es/search?q=,A bocajarro,https://www.google.es/search?q=A bocajarro,A bocajarro
5,https://www.google.es/search?q=,A bombo y platillo,https://www.google.es/search?q=A bombo y platillo,A bombo y platillo
6,https://www.google.es/search?q=,A brazo partido,https://www.google.es/search?q=A brazo partido,A brazo partido
7,https://www.google.es/search?q=,A buen recaudo,https://www.google.es/search?q=A buen recaudo,A buen recaudo
8,https://www.google.es/search?q=,A buenas horas,https://www.google.es/search?q=A buenas horas,A buenas horas
9,https://www.google.es/search?q=,A calzón quitado,https://www.google.es/search?q=A calzón quitado,A calzón quitado
10,https://www.google.es/search?q=,A capa y espada,https://www.google.es/search?q=A capa y espada,A capa y espada
11,https://www.google.es/search?q=,A cara de perro,https://www.google.es/search?q=A cara de perro,A cara de perro
12,https://www.google.es/search?q=,A cara o cruz,https://www.google.es/search?q=A cara o cruz,A cara o cruz
13,https://www.google.es/search?q=,A ciegas,https://www.google.es/search?q=A ciegas,A ciegas
14,https://www.google.es/search?q=,A ciencia cierta,https://www.google.es/search?q=A ciencia cierta,A ciencia cierta
15,https://www.google.es/search?q=,A cuenta gotas,https://www.google.es/search?q=A cuenta gotas,A cuenta gotas
16,https://www.google.es/search?q=,A cuerpo de rey,https://www.google.es/search?q=A cuerpo de rey,A cuerpo de rey
17,https://www.google.es/search?q=,A cuerpo gentil,https://www.google.es/search?q=A cuerpo gentil,A cuerpo gentil
18,https://www.google.es/search?q=,A decir verdad,https://www.google.es/search?q=A decir verdad,A decir verdad
19,https://www.google.es/search?q=,A degüello,https://www.google.es/search?q=A degüello,A degüello
20,https://www.google.es/search?q=,A diestro y siniestro,https://www.google.es/search?q=A diestro y siniestro,A diestro y siniestro
21,https://www.google.es/search?q=,A dos velas,https://www.google.es/search?q=A dos velas,A dos velas
22,https://www.google.es/search?q=,A duras penas,https://www.google.es/search?q=A duras penas,A duras penas
